hidden_dim,dropout,lr,batch_size,val_macro_f1
256,0.2,0.001,32,0.41049527279035475
256,0.2,0.0005,32,0.3942565754159957
64,0.2,0.001,32,0.39375430683455487
128,0.3,0.001,32,0.39103610367565445
128,0.2,0.001,32,0.3907398112128944
256,0.3,0.001,32,0.3895886082797724
256,0.2,0.001,64,0.38874106253959634
256,0.5,0.001,64,0.3850223982341103
256,0.5,0.001,32,0.3820292878517187
128,0.3,0.001,64,0.3804345028659248
128,0.2,0.001,64,0.37939769623036224
64,0.3,0.001,64,0.3750310416272855
256,0.3,0.001,64,0.3746185359352401
128,0.2,0.0005,64,0.3718222222222222
256,0.3,0.0005,32,0.369922477105812
64,0.3,0.001,32,0.3692116654210264
128,0.5,0.001,32,0.36833504182080196
128,0.2,0.0005,32,0.3654823306874356
128,0.3,0.0005,32,0.36529643478127066
128,0.5,0.001,64,0.3645046317915315
256,0.5,0.0005,32,0.3616680032076985
256,0.5,0.0005,64,0.3565426170468187
64,0.2,0.0005,32,0.35253188701464566
64,0.5,0.001,32,0.35229966808914176
128,0.5,0.0005,32,0.350264911702876
256,0.3,0.0005,64,0.34522740692210013
256,0.2,0.0005,64,0.344973544973545
64,0.2,0.001,64,0.34480779537561035
64,0.3,0.0005,32,0.334238891526437
64,0.5,0.001,64,0.333097007524445
128,0.3,0.0005,64,0.3303033510633606
64,0.5,0.0005,32,0.31089549221750556
64,0.3,0.0005,64,0.28464276633613017
64,0.2,0.0005,64,0.27724451412203766
64,0.5,0.0005,64,0.27048791568689123
128,0.5,0.0005,64,0.26895238095238094
